entityid,cluster
SA_AHIAC_AGU_0001,0
SA_ALDRI_AGU_0001,1
SA_BANOB_AGU_0001,1
SA_BARCE_AGU_0001,0
SA_BARRU_AGU_0001,0
SA_BERME_AGU_0001,1
SA_CABCB_AGU_0002,1
SA_CALDD_AGU_0002,1
SA_CANAB_AGU_0001,1
SA_CARSN_AGU_0001,2
SA_CERPE_AGU_0001,0
SA_CERRA_AGU_0002,0
SA_CERRA_AGU_0003,1
SA_ENCCO_AGU_0001,1
SA_FREGE_AGU_0001,1
SA_GEMYE_AGU_0001,2
SA_GUADR_AGU_0001,0
SA_GUADR_AGU_0002,1
SA_HINDU_AGU_0001,0
SA_LUMBR_AGU_0001,0
SA_MASUE_AGU_0001,1
SA_MASUE_AGU_0002,1
SA_MIEZA_AGU_0001,2
SA_MILAN_AGU_0001,1
SA_OLMCA_AGU_0001,1
SA_OLMCA_AGU_0002,0
SA_PENAX_AGU_0001,0
SA_PICEN_AGU_0001,2
SA_REDON_AGU_0001,2
SA_ROHVI_AGU_0001,1
SA_ROLLA_AGU_0001,2
SA_SALDE_AGU_0001,1
SA_SANFG_AGU_0001,2
SA_SANRI_AGU_0001,2
SA_SAUCE_AGU_0001,2
SA_SOBRA_AGU_0001,0
SA_UCEVA_AGU_0001,2
SA_VALDR_AGU_0001,2
SA_VALSL_AGU_0001,0
SA_VIDOL_AGU_0001,2
SA_VILLB_AGU_0002,1
SA_VILSA_AGU_0001,0
SA_VILVE_AGU_0001,1
SA_ZARPU_AGU_0001,2
